               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.039484,            0.059863,           0.0063273,              0.6801,             0.38167,             0.41125,             0.23851,            0.038589,            0.059651,           0.0081012,            0.008845,            0.008845,            0.008845
                  37,            0.039303,            0.058878,           0.0060456,              0.6961,             0.37564,             0.41343,             0.24405,            0.038494,            0.059415,            0.008224,            0.008812,            0.008812,            0.008812
                  38,            0.039301,            0.059143,            0.006126,             0.68564,             0.36858,             0.40138,             0.23568,             0.03857,             0.05981,           0.0081768,            0.008779,            0.008779,            0.008779
                  39,            0.039216,            0.059142,           0.0061718,               0.713,             0.37287,             0.40541,             0.23896,            0.038469,            0.059589,           0.0080508,            0.008746,            0.008746,            0.008746
                  40,            0.039278,            0.058894,           0.0059622,             0.71652,             0.38533,             0.42332,             0.24695,            0.038443,            0.059401,           0.0080348,            0.008713,            0.008713,            0.008713
                  41,            0.038987,            0.058548,           0.0061722,              0.6919,             0.38394,             0.41703,              0.2431,            0.038272,             0.05955,           0.0080021,             0.00868,             0.00868,             0.00868
                  42,            0.039052,            0.059389,           0.0059057,             0.67894,             0.38366,             0.41332,             0.23992,            0.038441,             0.05979,           0.0081806,            0.008647,            0.008647,            0.008647
                  43,            0.038849,            0.057879,           0.0059093,             0.68885,             0.38585,             0.40901,             0.24217,            0.038301,            0.059502,           0.0082855,            0.008614,            0.008614,            0.008614
                  44,            0.039019,            0.059074,            0.005864,             0.66779,             0.39066,             0.41224,              0.2422,            0.038458,            0.059918,           0.0081081,            0.008581,            0.008581,            0.008581
                  45,             0.03868,            0.058453,           0.0059049,             0.64317,             0.39399,             0.40534,             0.23662,             0.03832,            0.059555,           0.0082183,            0.008548,            0.008548,            0.008548
                  46,            0.038778,            0.058382,           0.0058684,             0.68863,             0.38832,             0.41047,             0.23968,            0.038274,            0.059633,           0.0081638,            0.008515,            0.008515,            0.008515
                  47,            0.038428,            0.058077,           0.0057952,             0.70422,             0.38062,             0.41474,             0.24688,            0.038168,            0.059219,           0.0081895,            0.008482,            0.008482,            0.008482
                  48,            0.038451,            0.057588,           0.0055346,             0.69282,             0.37907,             0.40788,             0.23893,            0.038344,            0.059771,           0.0082603,            0.008449,            0.008449,            0.008449
                  49,            0.038219,            0.057777,           0.0056457,             0.67997,             0.39141,              0.4171,             0.24255,            0.038192,            0.059576,           0.0082357,            0.008416,            0.008416,            0.008416
                  50,            0.038259,            0.058044,           0.0054828,             0.69774,             0.38914,             0.41866,             0.24701,            0.038062,            0.059584,           0.0081902,            0.008383,            0.008383,            0.008383
                  51,            0.038116,            0.057574,           0.0055206,             0.71399,             0.39199,             0.42219,              0.2469,            0.038092,            0.059525,           0.0082696,             0.00835,             0.00835,             0.00835
                  52,            0.038446,            0.057729,           0.0052998,             0.70583,             0.38702,             0.42328,             0.24638,            0.038094,            0.059576,           0.0082183,            0.008317,            0.008317,            0.008317
                  53,            0.038146,             0.05756,           0.0056529,             0.71905,             0.38494,             0.42259,             0.24639,            0.038061,            0.059426,           0.0082431,            0.008284,            0.008284,            0.008284
                  54,            0.038169,            0.057306,           0.0054772,             0.68355,             0.38968,             0.41321,             0.24682,            0.038073,            0.059765,           0.0081314,            0.008251,            0.008251,            0.008251
                  55,            0.038072,            0.057674,           0.0053648,             0.69713,             0.38015,             0.41302,             0.24341,            0.038048,            0.059836,           0.0082534,            0.008218,            0.008218,            0.008218
                  56,            0.037765,            0.056342,           0.0053063,             0.71567,             0.38129,             0.41754,             0.24352,            0.038012,            0.059398,           0.0082804,            0.008185,            0.008185,            0.008185
                  57,            0.037683,            0.057137,           0.0051875,             0.70141,             0.38402,             0.42014,             0.24683,            0.037961,            0.059651,           0.0082556,            0.008152,            0.008152,            0.008152
                  58,            0.037652,            0.056305,           0.0052678,             0.69592,             0.37171,             0.40406,             0.24122,            0.037924,            0.059373,           0.0082847,            0.008119,            0.008119,            0.008119
                  59,            0.037469,            0.056997,           0.0052007,             0.71916,             0.37443,             0.41612,              0.2445,            0.037883,            0.059591,           0.0083178,            0.008086,            0.008086,            0.008086
                  60,            0.037614,            0.056881,           0.0051562,             0.71951,             0.39261,             0.42153,             0.25143,            0.037879,            0.059393,           0.0083083,            0.008053,            0.008053,            0.008053
                  61,            0.037292,            0.056379,           0.0051648,             0.68809,             0.38132,             0.41284,             0.24776,             0.03796,            0.059608,           0.0082163,             0.00802,             0.00802,             0.00802
                  62,            0.037673,            0.056442,           0.0051193,             0.72319,             0.37664,             0.42166,             0.25092,            0.037809,            0.059431,           0.0082155,            0.007987,            0.007987,            0.007987
                  63,            0.037541,            0.057305,           0.0049889,             0.69043,             0.39476,             0.41785,             0.24802,             0.03775,            0.059424,            0.008274,            0.007954,            0.007954,            0.007954
                  64,            0.037288,            0.055984,           0.0050492,             0.73909,             0.37608,             0.41813,             0.24759,            0.037852,            0.059838,           0.0081745,            0.007921,            0.007921,            0.007921
                  65,            0.037431,            0.056191,           0.0050358,             0.68103,             0.39384,             0.41424,             0.24793,            0.037777,             0.05963,           0.0082641,            0.007888,            0.007888,            0.007888
                  66,            0.037153,            0.056874,           0.0048188,             0.70808,             0.36911,             0.41076,             0.24032,            0.037778,            0.059528,           0.0083504,            0.007855,            0.007855,            0.007855
                  67,            0.037306,             0.05578,           0.0049362,             0.71283,             0.39157,             0.42789,             0.24949,            0.037737,            0.059612,           0.0082388,            0.007822,            0.007822,            0.007822
                  68,             0.03743,            0.056445,           0.0049713,             0.72749,             0.38457,             0.41673,             0.24365,            0.037685,            0.059534,           0.0083628,            0.007789,            0.007789,            0.007789
                  69,            0.037172,            0.057186,           0.0048878,             0.70784,             0.37982,             0.41648,             0.24817,            0.037609,            0.059339,           0.0082196,            0.007756,            0.007756,            0.007756
                  70,            0.036993,            0.055552,           0.0048097,             0.74102,             0.37818,             0.42613,             0.25127,            0.037724,            0.059751,           0.0082828,            0.007723,            0.007723,            0.007723
                  71,            0.036932,            0.055401,           0.0048595,             0.69564,             0.38568,             0.42047,             0.24712,            0.037627,            0.059707,           0.0082147,             0.00769,             0.00769,             0.00769
                  72,            0.036901,            0.055537,           0.0047034,             0.71434,               0.383,             0.42485,             0.25062,            0.037587,            0.059561,           0.0082565,            0.007657,            0.007657,            0.007657
                  73,            0.036774,            0.055328,           0.0047765,              0.7137,             0.38047,             0.41173,             0.24768,            0.037608,            0.059598,           0.0082725,            0.007624,            0.007624,            0.007624
                  74,            0.037139,            0.056012,           0.0046325,             0.71283,             0.39279,             0.42134,             0.25175,            0.037611,            0.059508,           0.0082339,            0.007591,            0.007591,            0.007591
                  75,            0.036839,             0.05608,           0.0047139,             0.75692,             0.37784,             0.42086,             0.25166,            0.037633,            0.059984,            0.008403,            0.007558,            0.007558,            0.007558
                  76,            0.037066,            0.056308,            0.004747,             0.72227,             0.39622,             0.42323,             0.24719,            0.037585,            0.059788,           0.0083857,            0.007525,            0.007525,            0.007525
                  77,            0.036736,            0.055189,           0.0045679,             0.70031,             0.38381,             0.41579,             0.24825,            0.037576,            0.059843,           0.0084169,            0.007492,            0.007492,            0.007492
                  78,            0.036792,            0.055171,           0.0046921,             0.71191,             0.38619,             0.42224,             0.25079,             0.03758,            0.059612,           0.0082839,            0.007459,            0.007459,            0.007459
                  79,            0.036756,            0.055999,           0.0045115,             0.73078,             0.37847,             0.41957,             0.25236,             0.03756,            0.059735,           0.0082619,            0.007426,            0.007426,            0.007426
                  80,            0.036571,            0.054423,           0.0045288,             0.72406,             0.37773,              0.4176,             0.24992,            0.037574,            0.059708,           0.0083532,            0.007393,            0.007393,            0.007393
                  81,             0.03647,            0.054862,           0.0045922,             0.75188,             0.37778,             0.42738,             0.25258,            0.037546,            0.059644,           0.0082202,             0.00736,             0.00736,             0.00736
                  82,            0.036396,            0.054908,           0.0044472,              0.6962,              0.3771,             0.41457,             0.24679,            0.037588,            0.059934,           0.0084087,            0.007327,            0.007327,            0.007327
                  83,            0.036229,            0.054331,           0.0044577,             0.68056,             0.38684,             0.41584,             0.24967,            0.037529,            0.059644,            0.008445,            0.007294,            0.007294,            0.007294
                  84,            0.036413,            0.054286,           0.0044576,             0.70704,             0.38862,             0.41965,             0.25062,            0.037513,            0.059794,           0.0084381,            0.007261,            0.007261,            0.007261
                  85,            0.036323,            0.054714,           0.0045276,             0.74707,             0.38759,             0.42847,             0.25403,            0.037493,            0.059914,           0.0083424,            0.007228,            0.007228,            0.007228
                  86,            0.036376,            0.054882,           0.0043205,             0.76704,             0.38539,             0.42804,             0.25408,            0.037484,             0.05981,           0.0083024,            0.007195,            0.007195,            0.007195
