               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080475,            0.081974,            0.027186,             0.84982,            0.094416,             0.12502,            0.059394,            0.066706,            0.069871,            0.014269,            0.070061,           0.0033266,           0.0033266
                   1,            0.066785,            0.074503,            0.016809,             0.72562,             0.18355,             0.15636,            0.080665,            0.057178,            0.067547,            0.012103,            0.040039,           0.0066379,           0.0066379
                   2,            0.062065,             0.07433,            0.014973,             0.67846,             0.20595,              0.2259,             0.12514,            0.052005,            0.065777,            0.011017,           0.0099948,           0.0099273,           0.0099273
                   3,            0.057338,            0.072295,            0.013641,             0.47395,             0.28014,             0.25041,             0.13941,            0.049666,            0.065876,            0.010584,            0.009901,            0.009901,            0.009901
