               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077411,            0.056828,            0.028058,             0.29392,             0.22193,             0.17235,            0.089832,            0.059479,            0.070629,            0.012841,            0.070031,           0.0033299,           0.0033299
                   1,            0.064455,             0.05172,            0.019683,             0.49752,             0.25215,             0.25674,             0.13849,            0.054447,            0.068175,            0.010968,            0.040009,           0.0066412,           0.0066412
                   2,            0.060844,            0.051375,            0.017761,              0.5931,             0.26682,             0.29465,             0.15558,            0.052554,            0.068778,             0.01049,           0.0099652,           0.0099306,           0.0099306
                   3,            0.057734,            0.051295,            0.016917,             0.46725,             0.29718,             0.30671,             0.17111,            0.051722,            0.067484,            0.009702,            0.009901,            0.009901,            0.009901
                   4,            0.054561,            0.050083,            0.015756,             0.52962,              0.2789,              0.3155,             0.17464,            0.050023,             0.06627,           0.0090581,            0.009901,            0.009901,            0.009901
                   5,             0.05285,            0.049147,            0.014961,              0.4819,             0.31395,             0.32295,              0.1836,            0.049776,            0.066106,           0.0089943,            0.009868,            0.009868,            0.009868
                   6,            0.051762,             0.04852,            0.014332,             0.52167,             0.29923,             0.32924,             0.19036,            0.049015,            0.065188,           0.0087911,            0.009835,            0.009835,            0.009835
                   7,            0.051082,            0.048001,            0.013772,             0.46394,             0.31655,             0.34888,             0.20028,            0.048623,            0.065029,           0.0083963,            0.009802,            0.009802,            0.009802
                   8,            0.050314,            0.047354,            0.013327,             0.43089,             0.35059,             0.34714,             0.20162,            0.048141,            0.064753,             0.00843,            0.009769,            0.009769,            0.009769
                   9,            0.049799,            0.047142,            0.012897,             0.45739,             0.32517,             0.35104,              0.2061,            0.048255,            0.064811,           0.0083879,            0.009736,            0.009736,            0.009736
                  10,            0.049344,             0.04665,            0.012438,             0.46849,             0.33176,             0.36398,             0.21486,            0.047787,            0.064151,           0.0081741,            0.009703,            0.009703,            0.009703
                  11,            0.048855,            0.046213,              0.0121,             0.54892,             0.33284,             0.36747,             0.22045,            0.047465,            0.063958,           0.0081816,             0.00967,             0.00967,             0.00967
                  12,            0.048476,            0.045929,            0.011759,             0.49313,              0.3509,             0.36436,             0.22452,            0.047177,            0.063689,            0.008079,            0.009637,            0.009637,            0.009637
                  13,            0.048226,            0.045837,            0.011505,             0.56615,             0.31252,             0.34593,              0.2044,            0.047732,             0.06429,           0.0081984,            0.009604,            0.009604,            0.009604
                  14,            0.047959,            0.045499,            0.011169,             0.47632,              0.3335,             0.36334,             0.21561,            0.047476,            0.064188,           0.0079756,            0.009571,            0.009571,            0.009571
                  15,            0.047534,            0.045231,            0.010905,             0.52747,             0.33722,             0.36954,             0.22265,             0.04696,            0.063613,           0.0081215,            0.009538,            0.009538,            0.009538
                  16,            0.047383,            0.044944,            0.010643,             0.62938,             0.33623,             0.37142,             0.22427,            0.046744,            0.063428,           0.0079622,            0.009505,            0.009505,            0.009505
                  17,            0.047263,            0.044877,            0.010462,             0.58742,             0.34254,             0.39585,             0.23752,            0.046514,              0.0631,           0.0077708,            0.009472,            0.009472,            0.009472
                  18,            0.046895,            0.044551,            0.010215,             0.68515,              0.3269,             0.38106,             0.22757,            0.046467,            0.063138,           0.0078567,            0.009439,            0.009439,            0.009439
                  19,            0.046763,            0.044407,           0.0099685,              0.4513,             0.34986,             0.37657,             0.22599,            0.046534,            0.063318,           0.0077502,            0.009406,            0.009406,            0.009406
                  20,             0.04656,            0.044264,           0.0097086,             0.57686,             0.32224,             0.37843,             0.23016,            0.046188,            0.063178,           0.0077267,            0.009373,            0.009373,            0.009373
                  21,            0.046403,            0.044029,           0.0095255,             0.62852,             0.35106,             0.38225,              0.2327,            0.046177,            0.062841,           0.0077338,             0.00934,             0.00934,             0.00934
                  22,            0.046262,            0.043926,           0.0093984,             0.52874,             0.33402,              0.3788,             0.23028,            0.046221,            0.062939,           0.0076583,            0.009307,            0.009307,            0.009307
                  23,            0.045946,             0.04364,           0.0091415,             0.56409,             0.32383,             0.37326,             0.22793,            0.046264,            0.063312,           0.0076914,            0.009274,            0.009274,            0.009274
                  24,            0.045883,            0.043407,           0.0089693,             0.66512,             0.35771,             0.39236,             0.24057,            0.045949,            0.062621,           0.0077013,            0.009241,            0.009241,            0.009241
                  25,            0.045649,            0.043306,           0.0088416,              0.5623,              0.3382,             0.38274,             0.23411,            0.045849,            0.062727,           0.0076604,            0.009208,            0.009208,            0.009208
                  26,            0.045553,            0.043432,           0.0087042,             0.65813,             0.32512,              0.3694,             0.22685,            0.045867,            0.062654,           0.0077104,            0.009175,            0.009175,            0.009175
                  27,            0.045502,            0.043117,           0.0085687,             0.71388,             0.33925,              0.3839,             0.23938,            0.045869,            0.062682,           0.0078262,            0.009142,            0.009142,            0.009142
                  28,            0.045299,            0.043011,           0.0084817,             0.61319,              0.3556,             0.39338,             0.24214,            0.045762,            0.062498,           0.0078517,            0.009109,            0.009109,            0.009109
                  29,            0.045139,             0.04292,           0.0082824,             0.65275,             0.34482,             0.38247,             0.23448,            0.045713,             0.06257,           0.0079092,            0.009076,            0.009076,            0.009076
                  30,            0.044996,            0.042717,           0.0081526,             0.62683,             0.35404,             0.38234,             0.23623,            0.045417,            0.062175,           0.0076693,            0.009043,            0.009043,            0.009043
                  31,            0.044793,            0.042538,           0.0080276,             0.63426,             0.34985,             0.38199,             0.23451,            0.045477,            0.062226,           0.0079513,             0.00901,             0.00901,             0.00901
