               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080659,            0.078449,            0.025235,             0.83257,            0.088822,             0.12651,            0.057818,            0.062746,            0.070025,            0.014487,            0.070068,           0.0033257,           0.0033257
                   1,            0.067205,            0.069781,            0.014759,             0.76645,              0.1664,             0.17474,            0.088627,            0.057214,            0.067049,            0.012306,            0.040047,           0.0066371,           0.0066371
                   2,            0.062119,            0.071146,            0.013049,             0.86444,              0.1691,             0.22549,             0.11725,             0.05355,            0.067848,            0.010981,            0.010003,           0.0099264,           0.0099264
