               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079846,            0.078394,            0.025482,             0.81627,             0.12482,             0.10949,            0.048551,            0.065832,            0.069397,            0.014579,            0.070068,           0.0033257,           0.0033257
                   1,            0.066572,            0.069531,            0.014769,             0.87291,             0.13191,             0.15915,            0.082202,            0.054792,            0.067938,             0.01241,            0.040047,           0.0066371,           0.0066371
                   2,            0.061667,            0.070245,            0.013085,             0.86674,              0.1707,             0.22443,             0.11871,            0.053026,            0.066071,            0.011044,            0.010003,           0.0099264,           0.0099264
